# Time-averaged data for fix myat2
# TimeStep v_myvol
95300 28636.3
95400 28630
95500 28624
95600 28617.4
95700 28609.7
95800 28600.9
95900 28590
96000 28576.7
96100 28562.2
96200 28547.3
96300 28532.2
96400 28517.2
96500 28503.6
96600 28492.5
96700 28483.6
96800 28476.1
96900 28469.2
97000 28462.6
97100 28455.7
97200 28448.3
97300 28439.9
97400 28430.6
97500 28420.8
97600 28411.6
97700 28403
97800 28395.5
97900 28388.5
98000 28381.9
98100 28375.5
98200 28368.5
98300 28360.8
98400 28352.1
98500 28342.2
98600 28331
98700 28317.9
98800 28302.2
98900 28283.3
99000 28261.5
99100 28238.2
99200 28213.5
99300 28187
99400 28159.2
99500 28130.4
99600 28100.5
99700 28068.8
99800 28035.5
99900 28001.2
100000 27966.1
100100 27930.5
100200 27895
100300 27859.4
100400 27823.6
100500 27787
100600 27749.5
100700 27711.8
100800 27674.8
100900 27638.8
101000 27604.5
101100 27572.7
101200 27543.9
101300 27517.8
101400 27493.4
101500 27469.1
101600 27444.3
101700 27418.3
101800 27391.5
101900 27364.9
102000 27338.8
102100 27313.3
102200 27289.5
102300 27268.3
102400 27249.7
102500 27233.2
102600 27218.5
102700 27205.1
102800 27192.1
102900 27178.5
103000 27163.1
103100 27144.9
103200 27123.6
103300 27099.3
103400 27072.1
103500 27042.8
103600 27011.6
103700 26977.9
103800 26941.9
103900 26904.1
104000 26865.4
104100 26826.4
104200 26787.9
104300 26750.4
104400 26713.6
104500 26677.1
104600 26640.9
104700 26605
104800 26569.3
104900 26534.3
105000 26499.5
105100 26464.9
105200 26430.2
105300 26395.2
105400 26359.5
105500 26322.9
105600 26286.6
105700 26250.9
105800 26215.7
105900 26181.7
106000 26149.4
106100 26118.4
106200 26088.1
106300 26058.5
106400 26029.1
106500 26000.3
106600 25972.2
106700 25944.6
106800 25917.6
106900 25891
107000 25865.1
107100 25840
107200 25814.3
107300 25786.8
107400 25757.6
107500 25727.4
107600 25696.4
107700 25664.3
107800 25631.1
107900 25596.6
108000 25560.7
108100 25523.6
108200 25486.4
108300 25449.9
108400 25414.8
108500 25380.6
108600 25347.1
108700 25314.1
108800 25281.6
108900 25249.1
109000 25216.3
109100 25182.6
109200 25147.3
109300 25110
109400 25071
109500 25030.8
109600 24989.2
109700 24946.8
109800 24903.3
109900 24858
110000 24810.4
110100 24761.3
110200 24712.3
110300 24664.2
110400 24616.9
110500 24571.3
110600 24527.4
110700 24485.7
110800 24447
110900 24412.3
111000 24381.4
111100 24354.1
111200 24329.4
111300 24307
111400 24285.8
111500 24265.6
111600 24246.4
111700 24228.2
111800 24211
111900 24194.8
112000 24178.9
112100 24162.7
112200 24146.7
112300 24131.1
112400 24116
112500 24101.6
112600 24089
112700 24078.5
112800 24069.2
112900 24059.7
113000 24049.9
113100 24040.5
113200 24031.6
113300 24023
113400 24014.3
113500 24004.6
113600 23993.4
113700 23980.9
113800 23966.3
113900 23948.2
114000 23926.3
114100 23901.6
114200 23874.7
114300 23845.9
114400 23815.3
114500 23783.4
114600 23751.4
114700 23720.7
114800 23692.6
114900 23668
115000 23647.1
115100 23629.2
115200 23613.9
115300 23600.6
115400 23588.6
115500 23577.7
115600 23567.2
115700 23555.8
115800 23542.6
115900 23526.8
116000 23508.2
116100 23487.2
116200 23464.7
116300 23440.6
116400 23414.8
116500 23387.9
116600 23360.1
116700 23332
116800 23304.1
116900 23276.5
117000 23249.3
117100 23222
117200 23194.6
117300 23167.8
117400 23141.6
117500 23114.8
117600 23086.6
117700 23057.3
117800 23027.3
117900 22996.4
118000 22964.4
118100 22930.6
118200 22894.4
118300 22856.8
118400 22818.7
118500 22779.7
118600 22739.9
118700 22700.1
118800 22660.8
118900 22621.7
119000 22582.8
119100 22544.4
119200 22507.3
119300 22471.8
119400 22437.7
119500 22405.7
119600 22376.1
119700 22349.1
119800 22324.8
119900 22304.1
120000 22288.3
120100 22277.2
120200 22269.9
120300 22265.6
120400 22264
120500 22264
120600 22264.9
120700 22266.4
120800 22268
120900 22269.4
121000 22270.5
121100 22270.9
121200 22270.2
121300 22267.2
121400 22262.1
121500 22254.9
121600 22245.9
121700 22236.1
121800 22225.8
121900 22215.5
122000 22204.6
122100 22191.9
122200 22176.6
122300 22158.5
122400 22138.3
122500 22117.4
122600 22097.1
122700 22077.5
122800 22057.3
122900 22035.8
123000 22013.4
123100 21990.5
123200 21967.1
123300 21942.8
123400 21917.4
123500 21891.2
123600 21864
123700 21836
123800 21807.6
123900 21779
124000 21750.1
124100 21721.3
124200 21692.8
124300 21664.2
124400 21635.3
124500 21606.4
124600 21578.1
124700 21550.2
124800 21522.5
124900 21495
125000 21467
125100 21438.8
125200 21411.1
125300 21384.8
125400 21359.9
125500 21336
125600 21312.5
125700 21289
125800 21265.8
125900 21243.1
126000 21221
126100 21199.1
126200 21176.8
126300 21153.7
126400 21129.6
126500 21104
126600 21076.2
126700 21045.8
126800 21012.8
126900 20977
127000 20938.8
127100 20898.2
127200 20855.2
127300 20810.8
127400 20766.4
127500 20723.3
127600 20682.6
127700 20644.1
127800 20607.1
127900 20571.3
128000 20536.9
128100 20503.6
128200 20470.8
128300 20438.4
128400 20406.7
128500 20375.1
128600 20343.1
128700 20310.7
128800 20279.1
128900 20248.7
129000 20219.7
129100 20192.5
129200 20167.3
129300 20143.6
129400 20121.6
129500 20101.2
129600 20081.8
129700 20063
129800 20044.5
129900 20026.4
130000 20008.5
130100 19990.6
130200 19973.7
130300 19958.3
130400 19944.1
130500 19930.8
130600 19918.5
130700 19907.2
130800 19896.3
130900 19885
131000 19872.8
131100 19859.8
131200 19845.7
131300 19830.8
131400 19815.2
131500 19798.5
131600 19780.7
131700 19762
131800 19742.4
131900 19721.8
132000 19700.3
132100 19678.1
132200 19655.4
132300 19632.5
132400 19609.5
132500 19587.2
132600 19565.9
132700 19545.1
132800 19524.5
132900 19504.4
133000 19485.6
133100 19469.3
133200 19455.6
133300 19444.3
133400 19435
133500 19426.8
133600 19418.7
133700 19409.7
133800 19399.2
133900 19387.1
134000 19373
134100 19356.5
134200 19337.3
134300 19315.3
134400 19290.6
134500 19263.6
134600 19234.4
134700 19203.4
134800 19170.5
134900 19135.5
135000 19099
135100 19062
135200 19025.4
135300 18989.7
135400 18955.3
135500 18922
135600 18889.9
135700 18859.8
135800 18831.7
135900 18805.9
136000 18782.1
136100 18759.9
136200 18739.7
136300 18721.7
136400 18705.8
136500 18691.4
136600 18677.7
136700 18664.1
136800 18651
136900 18638.5
137000 18627.1
137100 18616.5
137200 18606.8
137300 18598
137400 18590.4
137500 18584.1
137600 18578.3
137700 18572.2
137800 18565.4
137900 18558.4
138000 18551
138100 18542.5
138200 18532.2
138300 18519.4
138400 18503.9
138500 18486.3
138600 18467.1
138700 18446.8
138800 18425.3
138900 18402.9
139000 18380.1
139100 18357.1
139200 18333.6
139300 18309.7
139400 18285.7
139500 18261.6
139600 18237.4
139700 18213.2
139800 18189.5
139900 18166.2
140000 18142.2
140100 18116.7
140200 18090.3
140300 18064
140400 18038
140500 18012.2
140600 17986.4
140700 17961.5
140800 17938.1
140900 17916.4
141000 17896
141100 17876.5
141200 17857.5
141300 17838.7
141400 17820.3
141500 17803
141600 17787.1
141700 17772.7
141800 17759.7
141900 17748.1
142000 17737.6
142100 17727.7
142200 17718.1
142300 17708.7
142400 17699.1
142500 17688.9
142600 17677.5
142700 17664.3
142800 17649.4
142900 17633.2
143000 17616
143100 17597.5
143200 17576.7
143300 17553.6
143400 17529
143500 17503.2
143600 17476.2
143700 17448.4
143800 17419.9
143900 17390.7
144000 17360.6
144100 17330.4
144200 17301.3
144300 17274.7
144400 17250.5
144500 17228
144600 17206.7
144700 17186.4
144800 17167.3
144900 17148.8
145000 17130.4
145100 17112.5
145200 17094.8
145300 17076.8
145400 17057.1
145500 17035.7
145600 17012.9
145700 16988.5
145800 16962.6
145900 16935.3
146000 16907
146100 16878.2
146200 16849
146300 16819.7
146400 16790.7
146500 16762
146600 16733.5
146700 16705.4
146800 16677.6
146900 16649.9
147000 16622
147100 16594.3
147200 16566.7
147300 16539.1
147400 16511.2
147500 16482.2
147600 16452.1
147700 16421
147800 16389.4
147900 16357.2
148000 16325.1
148100 16293.5
148200 16262.8
148300 16232.8
148400 16203.1
148500 16173.6
148600 16144.5
148700 16115.4
148800 16086.4
148900 16058.1
149000 16030.8
149100 16004.5
149200 15978.8
149300 15953
149400 15926.5
149500 15899.2
149600 15871.2
149700 15843
149800 15814.9
149900 15787
150000 15758.6
150100 15729.2
150200 15699
150300 15667.9
150400 15635.8
150500 15602.8
150600 15568.8
150700 15533.8
150800 15498.6
150900 15463.9
151000 15430.6
151100 15399
151200 15369.9
151300 15343.3
151400 15319.3
151500 15297.8
151600 15278.9
151700 15261.9
151800 15246.3
151900 15231.9
152000 15218.6
152100 15205.6
152200 15192.6
152300 15179.2
152400 15165.2
152500 15150.6
152600 15135.2
152700 15118.9
152800 15101.3
152900 15082.6
153000 15062.8
153100 15042.4
153200 15022
153300 15001.5
153400 14980.8
153500 14959.6
153600 14937.7
153700 14914.8
153800 14891
153900 14866.1
154000 14840.2
154100 14813.3
154200 14785.4
154300 14756.5
154400 14725.9
154500 14693.3
154600 14658.8
154700 14623
154800 14587.1
154900 14551.3
155000 14515.2
155100 14478.5
155200 14440.6
155300 14401.6
155400 14362.2
155500 14323.1
155600 14284.5
155700 14246.2
155800 14208.4
155900 14171.7
156000 14136.4
156100 14102.8
156200 14070.7
156300 14039.7
156400 14009.5
156500 13979.9
156600 13951.3
156700 13923.4
156800 13896.1
156900 13869.2
157000 13842.4
157100 13815.9
157200 13790.1
157300 13764.9
157400 13740
157500 13715.5
157600 13691.7
157700 13668.7
157800 13646.5
157900 13625.5
158000 13605.5
158100 13586.1
158200 13566.5
158300 13546.5
158400 13525.6
158500 13503.7
158600 13480.9
158700 13457.3
158800 13433.4
158900 13409.8
159000 13386.8
159100 13364.4
159200 13342.3
159300 13320.5
159400 13299.2
159500 13278.6
159600 13258.8
159700 13239.6
159800 13221.3
159900 13203.9
160000 13187.1
160100 13170.7
160200 13154.7
160300 13138.9
160400 13122.5
160500 13105.4
160600 13087.3
160700 13068.1
160800 13047.9
160900 13026.8
161000 13005.2
161100 12983.3
161200 12961
161300 12937.8
161400 12913.7
161500 12889.3
161600 12865.2
161700 12841.5
161800 12818.1
161900 12794.9
162000 12771.8
162100 12748.7
162200 12725.4
162300 12701.6
162400 12677.6
162500 12653.8
162600 12629.9
162700 12605.7
162800 12581.1
162900 12557
163000 12534.1
163100 12512.4
163200 12492
163300 12473.4
163400 12457.4
163500 12444.3
163600 12433.9
163700 12426
163800 12420
163900 12414.8
164000 12410.3
164100 12405.9
164200 12401.5
164300 12396.3
164400 12390.3
164500 12383.7
164600 12376.4
164700 12368.4
164800 12359.4
164900 12349
165000 12336.9
165100 12323.1
165200 12307.8
165300 12291.5
165400 12274.6
165500 12257.6
165600 12240.3
165700 12222.7
165800 12205.4
165900 12188.9
166000 12172.9
166100 12157.4
166200 12142.5
166300 12128.1
166400 12114.2
166500 12100.6
166600 12087.1
166700 12073.9
166800 12061
166900 12048.1
167000 12035.1
167100 12022.5
167200 12010.2
167300 11998.5
167400 11987.4
167500 11976.6
167600 11966
167700 11955.6
167800 11945.5
167900 11935.7
168000 11926.1
168100 11916.7
168200 11907.9
168300 11899.4
168400 11890.9
168500 11882
168600 11872.5
168700 11862.4
168800 11851.8
168900 11841.2
169000 11830.9
169100 11821.2
169200 11812.2
169300 11804.4
169400 11798.3
169500 11793.7
169600 11790.4
169700 11788.5
169800 11788.5
169900 11790
170000 11792.7
170100 11796.3
170200 11800.1
170300 11803.7
170400 11806.8
170500 11809.1
170600 11810.4
170700 11810.4
170800 11809.1
170900 11806.8
171000 11803.1
171100 11797.6
171200 11790.3
171300 11781.3
171400 11770.7
171500 11758.8
171600 11745.8
171700 11731.6
171800 11716.3
171900 11699.7
172000 11681.9
172100 11663
172200 11643.3
172300 11622.9
172400 11602.1
172500 11581
172600 11559.5
172700 11537.6
172800 11515.9
172900 11494.4
173000 11473.5
173100 11452.9
173200 11432.6
173300 11412.9
173400 11394.1
173500 11376.3
173600 11359
173700 11341.8
173800 11324.3
173900 11306.5
174000 11288.6
174100 11270.6
174200 11251.9
174300 11232.5
174400 11212.5
174500 11191.6
174600 11170.1
174700 11147.5
174800 11123.6
174900 11098.1
175000 11071.5
175100 11043.7
175200 11015.2
175300 10986.5
175400 10958
175500 10929.8
175600 10902
175700 10874.8
175800 10848.1
175900 10822
176000 10796.7
176100 10772.3
176200 10749.2
176300 10727.4
176400 10707.1
176500 10688.8
176600 10672.6
176700 10658.2
176800 10644.6
176900 10631.2
177000 10618.1
177100 10605.5
177200 10593.5
177300 10581.9
177400 10570.5
177500 10559.7
177600 10549.7
177700 10540.3
177800 10531
177900 10521.6
178000 10511.6
178100 10501
178200 10489.7
