# Time-averaged data for fix myat3
# TimeStep v_mydensity
72600 0.00508114
72700 0.00509044
72800 0.00509987
72900 0.00510949
73000 0.00511941
73100 0.00512967
73200 0.00514021
73300 0.00515085
73400 0.00516146
73500 0.005172
73600 0.00518232
73700 0.00519226
73800 0.00520189
73900 0.00521128
74000 0.00522034
74100 0.00522906
74200 0.00523754
74300 0.00524572
74400 0.00525351
74500 0.00526093
74600 0.0052681
74700 0.00527491
74800 0.0052813
74900 0.00528725
75000 0.00529284
75100 0.00529828
75200 0.00530362
75300 0.00530883
75400 0.00531384
75500 0.00531857
75600 0.00532292
75700 0.00532685
75800 0.0053304
75900 0.00533367
76000 0.00533663
76100 0.00533927
76200 0.00534169
76300 0.00534408
76400 0.00534659
76500 0.00534927
76600 0.00535212
76700 0.00535525
76800 0.00535877
76900 0.00536258
77000 0.00536651
77100 0.00537035
77200 0.00537413
77300 0.0053779
77400 0.00538187
77500 0.00538607
77600 0.00539023
77700 0.00539416
77800 0.00539793
77900 0.00540162
78000 0.00540523
78100 0.0054087
78200 0.00541193
78300 0.00541493
78400 0.00541776
78500 0.00542052
78600 0.00542331
78700 0.00542613
78800 0.00542911
78900 0.00543233
79000 0.00543575
79100 0.00543918
79200 0.00544273
79300 0.00544666
79400 0.005451
79500 0.00545559
79600 0.00546022
79700 0.00546484
79800 0.00546942
79900 0.00547398
80000 0.00547852
80100 0.00548302
80200 0.0054874
80300 0.00549152
80400 0.00549543
80500 0.00549912
80600 0.00550264
80700 0.00550624
80800 0.00551008
80900 0.00551419
81000 0.00551844
81100 0.00552287
81200 0.00552755
81300 0.00553235
81400 0.00553712
81500 0.0055417
81600 0.00554598
81700 0.00554998
81800 0.00555381
81900 0.00555753
82000 0.0055612
82100 0.00556481
82200 0.00556826
82300 0.00557161
82400 0.00557497
82500 0.00557837
82600 0.00558176
82700 0.00558528
82800 0.00558913
82900 0.00559357
83000 0.00559858
83100 0.0056043
83200 0.00561092
83300 0.00561826
83400 0.00562598
83500 0.00563396
83600 0.00564206
83700 0.00564993
83800 0.0056574
83900 0.00566446
84000 0.00567105
84100 0.00567705
84200 0.00568238
84300 0.00568705
84400 0.00569096
84500 0.00569417
84600 0.00569687
84700 0.00569939
84800 0.00570199
84900 0.00570479
85000 0.00570796
85100 0.00571166
85200 0.00571601
85300 0.00572107
85400 0.0057269
85500 0.00573349
85600 0.00574081
