# Time-averaged data for fix myat1
# TimeStep v_kinetic_energy v_potential_energy v_pressure
4520 0.968951 -0.970929 0.91225
4530 1.00624 -0.976956 0.930469
4540 1.01197 -0.971443 0.930456
4550 1.00118 -0.978989 0.905108
4560 1.02086 -0.964493 0.962758
4570 1.02772 -0.945714 1.05232
4580 1.00339 -0.954262 0.990125
4590 0.991022 -0.951563 0.980625
4600 1.02369 -0.949761 0.975925
4610 1.04297 -0.948384 0.977952
4620 1.03311 -0.937452 1.01537
4630 1.04995 -0.950129 0.972416
4640 1.02803 -0.958936 0.940786
4650 0.976314 -0.955311 0.925798
4660 0.960326 -0.951394 0.922577
4670 0.990629 -0.963642 0.88519
4680 0.965594 -0.956407 0.893848
4690 1.00295 -0.957999 0.887224
4700 1.01346 -0.953036 0.893999
4710 1.03616 -0.953193 0.903056
4720 1.03956 -0.955974 0.911036
4730 0.999766 -0.968608 0.850916
4740 0.96664 -0.970441 0.8446
4750 0.950113 -0.949306 0.914195
4760 1.00241 -0.956621 0.915953
4770 0.995846 -0.95462 0.898661
4780 1.01135 -0.96405 0.866831
4790 0.986769 -0.971563 0.862181
4800 1.02318 -0.97182 0.876773
4810 1.00565 -0.96055 0.914387
4820 1.02038 -0.960643 0.929667
4830 1.04616 -0.957159 0.961221
4840 1.00122 -0.948126 0.973164
4850 1.02869 -0.969596 0.905206
4860 0.989659 -0.971829 0.88396
4870 1.00769 -0.975689 0.897659
4880 0.961304 -0.966848 0.924567
4890 0.969952 -0.961252 0.934891
4900 1.01913 -0.961186 0.953677
4910 0.999344 -0.957619 0.964694
4920 0.989796 -0.958493 0.933247
4930 0.987786 -0.96832 0.892882
4940 1.03412 -0.958038 0.942742
4950 1.03434 -0.975371 0.870377
4960 1.0055 -0.985419 0.809319
4970 1.00908 -0.961162 0.911142
4980 1.00869 -0.951267 0.953407
4990 1.01685 -0.954109 0.947767
5000 1.00852 -0.96015 0.906731
5010 0.99303 -0.96066 0.921772
5020 1.01747 -0.959865 0.936542
5030 1.02342 -0.96227 0.92973
5040 1.00081 -0.971424 0.902439
5050 0.976563 -0.972089 0.906036
5060 1.00157 -0.966332 0.936323
5070 0.993291 -0.96654 0.912586
5080 0.998254 -0.956559 0.929856
5090 1.02482 -0.971575 0.872597
5100 1.01322 -0.971776 0.841466
5110 0.995603 -0.980628 0.779527
5120 1.00636 -0.972312 0.816248
5130 1.02635 -0.967242 0.860203
5140 1.02417 -0.98936 0.821994
5150 1.02302 -0.981744 0.91248
5160 1.00741 -0.974897 0.976325
5170 1.01014 -0.969844 0.964298
5180 1.0121 -0.980471 0.906846
5190 1.02937 -0.967 0.943135
5200 1.05912 -0.969773 0.937638
5210 1.04422 -0.961041 0.959599
5220 1.02767 -0.958631 0.980275
5230 1.0237 -0.969134 0.918398
5240 1.00795 -0.982255 0.86114
5250 0.995662 -0.982604 0.842977
5260 0.990187 -0.979301 0.82542
5270 0.972772 -0.975977 0.820128
5280 1.01717 -0.980203 0.822534
5290 1.00445 -0.969615 0.847694
5300 0.990702 -0.977046 0.828339
5310 1.01467 -0.970753 0.852982
5320 1.01165 -0.955117 0.91128
5330 1.01481 -0.946379 0.951821
5340 1.0169 -0.955312 0.910267
5350 1.01467 -0.963115 0.879019
5360 0.987196 -0.947548 0.931993
5370 0.97531 -0.956231 0.890821
5380 0.990835 -0.971353 0.844068
5390 0.999284 -0.956202 0.912503
5400 1.02315 -0.968256 0.869199
5410 0.998282 -0.956745 0.910412
5420 0.979172 -0.954213 0.940161
5430 0.98365 -0.980831 0.837035
5440 0.996413 -0.970628 0.84701
5450 0.992488 -0.967079 0.866188
5460 1.0332 -0.966239 0.892713
5470 0.985713 -0.963139 0.885196
5480 1.00225 -0.974766 0.849406
5490 0.976598 -0.970973 0.836983
5500 0.997296 -0.96358 0.883152
5510 1.02979 -0.979952 0.827458
5520 1.01848 -0.980699 0.80104
5530 0.973308 -0.962409 0.874212
5540 1.00424 -0.953612 0.930725
5550 1.02008 -0.975307 0.854791
5560 1.00429 -0.967322 0.885835
5570 1.02909 -0.948896 0.974347
5580 1.00985 -0.960314 0.911982
5590 0.994187 -0.967294 0.855362
5600 1.03936 -0.969414 0.870016
5610 1.00353 -0.958483 0.932022
5620 0.986505 -0.962569 0.946156
5630 0.97235 -0.96545 0.952336
5640 1.01116 -0.972806 0.944528
5650 1.01112 -0.984061 0.894146
5660 1.01391 -0.981911 0.897297
5670 1.0225 -0.965369 0.973655
5680 0.989951 -0.954679 1.00731
5690 0.996217 -0.97895 0.915974
5700 0.982237 -0.980714 0.885528
5710 0.986289 -0.977495 0.880633
5720 0.995374 -0.965766 0.903975
5730 0.986293 -0.970958 0.890056
5740 1.00761 -0.964526 0.907609
5750 0.998651 -0.971966 0.847633
5760 0.974783 -0.964169 0.830035
5770 0.976114 -0.981495 0.754393
5780 0.962503 -0.970856 0.794099
5790 0.974719 -0.969173 0.837654
5800 1.02487 -0.966536 0.893649
5810 0.986521 -0.982344 0.822915
5820 0.993768 -0.990788 0.822825
5830 1.00674 -0.97649 0.884357
5840 1.01805 -0.992334 0.842278
5850 1.0014 -0.980867 0.870988
5860 1.01197 -0.990436 0.828817
5870 0.994555 -0.988546 0.841334
5880 1.00545 -0.978335 0.904413
5890 1.0072 -0.970899 0.942528
5900 0.994459 -0.979008 0.906931
5910 1.00465 -0.985381 0.842367
5920 0.986564 -0.987598 0.809814
5930 0.985465 -0.986124 0.812544
5940 1.01069 -0.978726 0.85741
5950 0.999202 -0.958221 0.957548
5960 0.98274 -0.960225 0.960701
5970 1.01815 -0.975821 0.891836
5980 1.00778 -0.974888 0.878736
5990 0.969988 -0.95592 0.924264
6000 0.996894 -0.953357 0.920602
6010 0.954219 -0.951475 0.895261
6020 1.01343 -0.963486 0.898544
6030 1.01426 -0.94826 0.938088
6040 0.996698 -0.955187 0.91299
6050 0.989183 -0.948629 0.950168
6060 0.997716 -0.934303 1.00501
6070 1.0421 -0.955206 0.93048
6080 1.0371 -0.960797 0.875092
6090 1.0381 -0.956668 0.917231
6100 1.02924 -0.94932 0.94387
6110 1.00268 -0.959829 0.906664
6120 0.998355 -0.963181 0.920675
6130 1.01715 -0.963963 0.920075
6140 1.04104 -0.960319 0.959761
6150 1.03058 -0.945091 1.02841
6160 1.02013 -0.957311 0.978274
6170 1.00877 -0.939673 1.00205
6180 0.996568 -0.951544 0.943375
6190 0.986597 -0.953864 0.900915
6200 1.01193 -0.967118 0.834338
6210 1.01393 -0.968075 0.834193
6220 1.00413 -0.968386 0.82789
6230 1.00625 -0.958408 0.860475
6240 0.999027 -0.949101 0.878255
6250 1.00113 -0.965369 0.825201
6260 1.00318 -0.96423 0.847746
6270 0.998678 -0.945038 0.935288
6280 1.01486 -0.959989 0.895547
6290 1.01014 -0.963142 0.893477
6300 1.006 -0.969295 0.862399
6310 1.01818 -0.974845 0.834107
6320 1.0005 -0.969134 0.851235
6330 0.974597 -0.960856 0.852242
6340 0.973033 -0.962346 0.842474
